16666	Una prelibatezza per il tuo pet!
16667	Una prelibatezza per il tuo pet molto rara!
18058	Cintura dell'ombra+8	
18059	Cintura dell'ombra+9	
18060	Cintura con rune+0	
18061	Cintura con rune+1	
18062	Cintura con rune+2	
18063	Cintura con rune+3	
18064	Cintura con rune+4	
18065	Cintura con rune+5	
18066	Cintura con rune+6	
18067	Cintura con rune+7	
18068	Cintura con rune+8	
18069	Cintura con rune+9	
18070	Cintura orso grande+0	
18071	Cintura orso grande+1	
18072	Cintura orso grande+2	
18073	Cintura orso grande+3	
18074	Cintura orso grande+4	
18075	Cintura orso grande+5	
18076	Cintura orso grande+6	
18077	Cintura orso grande+7	
18078	Cintura orso grande+8	
18079	Cintura orso grande+9	
18900	Pietra di fiamma rossa	Rinforza i bonus della tua cintura.
20760	Corazza Aurora +0	
20761	Corazza Aurora +1	
20762	Corazza Aurora +2	
20763	Corazza Aurora +3	
20764	Corazza Aurora +4	
20765	Corazza Aurora +5	
20766	Corazza Aurora +6	
20767	Corazza Aurora +7	
20768	Corazza Aurora +8	
20769	Corazza Aurora +9	
20770	Abito Tranello +0	
20771	Abito Tranello +1	
20772	Abito Tranello +2	
20773	Abito Tranello +3	
20774	Abito Tranello +4	
20775	Abito Tranello +5	
20776	Abito Tranello +6	
20777	Abito Tranello +7	
20778	Abito Tranello +8	
20779	Abito Tranello +9	
20780	Corazza Artig. diab. +0	
20781	Corazza Artig. diab. +1	
20782	Corazza Artig. diab. +2	
20783	Corazza Artig. diab. +3	
20784	Corazza Artig. diab. +4	
20785	Corazza Artig. diab. +5	
20786	Corazza Artig. diab. +6	
20787	Corazza Artig. diab. +7	
20788	Corazza Artig. diab. +8	
20789	Corazza Artig. diab. +9	
20790	Vestito della fede +0	
20791	Vestito della fede +1	
20792	Vestito della fede +2	
20793	Vestito della fede +3	
20794	Vestito della fede +4	
20795	Vestito della fede +5	
20796	Vestito della fede +6	
20797	Vestito della fede +7	
20798	Vestito della fede +8	
20799	Vestito della fede +9	
20800	Corazza Guerr. ombr. +0	
20801	Corazza Guerr. ombr. +1	
20802	Corazza Guerr. ombr. +2	
20803	Corazza Guerr. ombr. +3	
20804	Corazza Guerr. ombr. +4	
20805	Corazza Guerr. ombr. +5	
20806	Corazza Guerr. ombr. +6	
20807	Corazza Guerr. ombr. +7	
20808	Corazza Guerr. ombr. +8	
20809	Corazza Guerr. ombr. +9	
20810	Corazza Magma +0	
20811	Corazza Magma +1	
20812	Corazza Magma +2	
20813	Corazza Magma +3	
20814	Corazza Magma +4	
20815	Corazza Magma +5	
20816	Corazza Magma +6	
20817	Corazza Magma +7	
20818	Corazza Magma +8	
20819	Corazza Magma +9	
20820	Abito Luna di sangue +0	
20821	Abito Luna di sangue +1	
20822	Abito Luna di sangue +2	
20823	Abito Luna di sangue +3	
20824	Abito Luna di sangue +4	
20825	Abito Luna di sangue +5	
20826	Abito Luna di sangue +6	
20827	Abito Luna di sangue +7	
20828	Abito Luna di sangue +8	
20829	Abito Luna di sangue +9	
20830	Corazza Caval. infer. +0	
20831	Corazza Caval. infer. +1	
20832	Corazza Caval. infer. +2	
20833	Corazza Caval. infer. +3	
20834	Corazza Caval. infer. +4	
20835	Corazza Caval. infer. +5	
20836	Corazza Caval. infer. +6	
20837	Corazza Caval. infer. +7	
20838	Corazza Caval. infer. +8	
20839	Corazza Caval. infer. +9	
20840	Vestito del fuoco +0	
20841	Vestito del fuoco +1	
20842	Vestito del fuoco +2	
20843	Vestito del fuoco +3	
20844	Vestito del fuoco +4	
20845	Vestito del fuoco +5	
20846	Vestito del fuoco +6	
20847	Vestito del fuoco +7	
20848	Vestito del fuoco +8	
20849	Vestito del fuoco +9	
20850	Corazza Placche agata +0	
20851	Corazza Placche agata +1	
20852	Corazza Placche agata +2	
20853	Corazza Placche agata +3	
20854	Corazza Placche agata +4	
20855	Corazza Placche agata +5	
20856	Corazza Placche agata +6	
20857	Corazza Placche agata +7	
20858	Corazza Placche agata +8	
20859	Corazza Placche agata +9	
20860	Corazza Osso balena +0	
20861	Corazza Osso balena +1	
20862	Corazza Osso balena +2	
20863	Corazza Osso balena +3	
20864	Corazza Osso balena +4	
20865	Corazza Osso balena +5	
20866	Corazza Osso balena +6	
20867	Corazza Osso balena +7	
20868	Corazza Osso balena +8	
20869	Corazza Osso balena +9	
20870	Abito Metamorfosi +0	
20871	Abito Metamorfosi +1	
20872	Abito Metamorfosi +2	
20873	Abito Metamorfosi +3	
20874	Abito Metamorfosi +4	
20875	Abito Metamorfosi +5	
20876	Abito Metamorfosi +6	
20877	Abito Metamorfosi +7	
20878	Abito Metamorfosi +8	
20879	Abito Metamorfosi +9	
20880	Corazza Fuoco fatuo +0	
20881	Corazza Fuoco fatuo +1	
20882	Corazza Fuoco fatuo +2	
20883	Corazza Fuoco fatuo +3	
20884	Corazza Fuoco fatuo +4	
20885	Corazza Fuoco fatuo +5	
20886	Corazza Fuoco fatuo +6	
20887	Corazza Fuoco fatuo +7	
20888	Corazza Fuoco fatuo +8	
20889	Corazza Fuoco fatuo +9	
20890	Vestito Armonia +0	
20891	Vestito Armonia +1	
20892	Vestito Armonia +2	
20893	Vestito Armonia +3	
20894	Vestito Armonia +4	
20895	Vestito Armonia +5	
20896	Vestito Armonia +6	
20897	Vestito Armonia +7	
20898	Vestito Armonia +8	
20899	Vestito Armonia +9	
20900	Corazza Pietra lunare +0	
20901	Corazza Pietra lunare +1	
20902	Corazza Pietra lunare +2	
20903	Corazza Pietra lunare +3	
20904	Corazza Pietra lunare +4	
20905	Corazza Pietra lunare +5	
20906	Corazza Pietra lunare +6	
20907	Corazza Pietra lunare +7	
20908	Corazza Pietra lunare +8	
20909	Corazza Pietra lunare +9	
20910	Corazza Pioggiacenere +0	
20911	Corazza Pioggiacenere +1	
20912	Corazza Pioggiacenere +2	
20913	Corazza Pioggiacenere +3	
20914	Corazza Pioggiacenere +4	
20915	Corazza Pioggiacenere +5	
20916	Corazza Pioggiacenere +6	
20917	Corazza Pioggiacenere +7	
20918	Corazza Pioggiacenere +8	
20919	Corazza Pioggiacenere +9	
20920	Abito Notte mortale +0	
20921	Abito Notte mortale +1	
20922	Abito Notte mortale +2	
20923	Abito Notte mortale +3	
20924	Abito Notte mortale +4	
20925	Abito Notte mortale +5	
20926	Abito Notte mortale +6	
20927	Abito Notte mortale +7	
20928	Abito Notte mortale +8	
20929	Abito Notte mortale +9	
20930	Corazza Fuoco nero +0	
20931	Corazza Fuoco nero +1	
20932	Corazza Fuoco nero +2	
20933	Corazza Fuoco nero +3	
20934	Corazza Fuoco nero +4	
20935	Corazza Fuoco nero +5	
20936	Corazza Fuoco nero +6	
20937	Corazza Fuoco nero +7	
20938	Corazza Fuoco nero +8	
20939	Corazza Fuoco nero +9	
20940	Vestito lunare +0	
20941	Vestito lunare +1	
20942	Vestito lunare +2	
20943	Vestito lunare +3	
20944	Vestito lunare +4	
20945	Vestito lunare +5	
20946	Vestito lunare +6	
20947	Vestito lunare +7	
20948	Vestito lunare +8	
20949	Vestito lunare +9	
20950	Corazza Placchedonice +0	
20951	Corazza Placchedonice +1	
20952	Corazza Placchedonice +2	
20953	Corazza Placchedonice +3	
20954	Corazza Placchedonice +4	
20955	Corazza Placchedonice +5	
20956	Corazza Placchedonice +6	
20957	Corazza Placchedonice +7	
20958	Corazza Placchedonice +8	
20959	Corazza Placchedonice +9	
21100		
21101		
21102		
21103		
21104		
21105		
21106		
21107		
21108		
21109		
21110		
21111		
21112		
21113		
21114		
21115		
21116		
21117		
21118		
21119		
21120		
21121		
21122		
21123		
21124		
21125		
21126		
21127		
21128		
21129		
21550	Elmo Corna d. drago +0	
21551	Elmo Corna d. drago +1	
21552	Elmo Corna d. drago +2	
21553	Elmo Corna d. drago +3	
21554	Elmo Corna d. drago +4	
21555	Elmo Corna d. drago +5	
21556	Elmo Corna d. drago +6	
21557	Elmo Corna d. drago +7	
21558	Elmo Corna d. drago +8	
21559	Elmo Corna d. drago +9	
21560		
21561		
21562		
21563		
21564		
21565		
21566		
21567		
21568		
21569		
21991		
21992		
21993		
22000	Papiro Città	Il papiro ti permette di ritornare in città
22010	Papiro del Luogo	Il papiro ti permette di ritornare all'ultimo luogo che hai marcato.
25040	Papiro consacrato	Elimina il rischio di distruggere un oggetto se il miglioramento fallisce. In questo caso, la sua qualità sarà solo diminuita di 1.
25041	Pietra magica	Una pepita del leggendario metallo che aumenta la probabilità di migliorare un oggetto. Nel caso in cui il miglioramento fallisca, l'oggetto non sarà distrutto e la sua qualità non peggiorerà.
25042	Pietra rituale	Una pietra che brilla di una luce mistica e che ti dona maggiori possibilità di riuscire a migliorare un oggetto. L'oggetto migliorato non potrà, inoltre, essere distrutto o peggiorare. Questa pietra funziona solo sugli oggetti di livello superiore a 80.
25100	Papiro Pietra Spirit.	Il papiro ti permette, di eliminare la pietra spirituale da un'arma o un'armatura. Rimane il segno dell'eliminazione.
27051	Pozione Rossa (P)	Carica di 300 i tuoi Punti vita. Non è commerciabile.
27052	Pozione Blu (P)	Carica di 100 i tuoi punti Punti mana. Non è commerciabile.
27053	Pozione Verde (P)	Aumenta di +10 la tua velocità d'attacco per 10 minuti. Non è commerciabile.
27054	Pozione Viola (P)	Aumenta di +10 la tua velocità di movimento per 10 minuti. Non è commerciabile.
27122	Pozione rossa (P)	Carica di 300 i tuoi Punti vita. Non è commerciabile.
27123	Pozione verde (P)	Aumenta di +10 la tua velocità d'attacco per 10 minuti. Non è commerciabile.
27124	Benda	Ferma immediatamente l'emorragia.
27600	Falò	Legno che è stato tagliato per fare il falò.
27610	Palla di Pesce	La palla magica fornisce le informazioni sul pesce all'amo.
27620	Libro sulla Pesca	Un libro che fornisce informazioni sui pesci.
27799	Lisca	La lisca di un pesce.
27800	Pasta	Un esca semplice.
27801	Verme	Esca che può essere utilizzata per pescare pesci piccoli.
27802	Pesce Piccolo	Esca che può essere utilizzata per pescare pesci grandi.
27803	Luccio	Un normale pesce che normalmente vive in uno stagno.
27804	Pesce Mandarino	Un pesce molto gustoso.
27805	Luccio Grande	Un luccio grosso e grasso.
27806	Carpa	Un grosso pesce argentato.
27807	Salmone	Un pesce che torna a casa durante il periodo di accoppiamento.
27808	Carpa Erbivora	Una carpa che abitualmente si ciba di erba.
27809	Trota Fario	Un pesce imparentato con il salmone.
27810	Anguilla	Un pesce lungo e sottile che sembra un serpente. Ha molta resistenza.
27811	Trota Iridea	Un pesce dalla schiena iridata.
27812	Trota di Torrente	Un pesce che vive nel fiume.
27813	Scardola	Pesce che vive in branco.
27814	Pesce Persico	Un pesce conosciuto come "squalo dei laghi".
27815	Tenchi	Pesce della famiglia del barbo, che vive solo in acqua pulita.
27816	Pesce Gatto	Pesce con un caratteristico muso grande e baffi simili al gatto.
27817	Cobitidae	Un pesce che normalmente vive in acque basse e melmose.
27818	Pesce Loto	Un grande pesce d'acqua dolce che si nutre in maniera mista.
27819	Ayu	C imparentato con lo sperlano. Vive nelle vicinanze delle coste o nei pressi delle foci dei fiumi.
27820	Sperlano	Un "pesce invernale", che di solito viene pescato sul ghiaccio.
27821	Shiri	Un pesce di forma e colore belli.
27822	Carpa Specchio	Una carpa del luogo.
27823	Pesce Rosso	Un pesce raro di colore dorato
27833	Luccio Morto	Luccio morto. | Può essere grigliato su un falò.
27834	Pesce Mandarino Morto	Pesce mandarino morto. | Può essere grigliato su un falò.
27835	Luccio Grande Morto	Luccio grande morto. | Può essere grigliato su un falò.
27836	Carpa Morta	Carpa morta. | Può essere grigliata su un falò.
27837	Salmone Morto	Salmone morto. | Può essere grigliato su un falò.
27838	Carpa Erbivora Morta	Carpa erbivora morta. | Può essere grigliata su un falò.
27839	Trota Fario Morta	Trota fario morta. | Può essere grigliata su un falò.
27840	Anguilla Morta	Anguilla morta. | Può essere grigliata su un falò.
27841	Trota Iridea Morta	Trota iridea morta. | Può essere grigliata su un falò.
27842	Trota di Torrente Morta	Trota di torrente morta. | Può essere grigliata su un falò.
27843	Scardola Morta	Scardola morta. | Può essere grigliata su un falò.
27844	Pesce Persico Morto	Pesce persico morto. | Può essere grigliato su un falò.
27845	Tenchi Morto	Tenchi morto. | Può essere grigliato su un falò.
27846	Pesce Gatto Morto	Pesce gatto morto. | Può essere grigliato su un falò.
27847	Cobitidae Morto	Cobitidae morto. | Può essere grigliato su un falò.
27848	Pesce Loto Morto	Pesce loto morto. | Può essere grigliato su un falò.
27849	Ayu Morto	Ayu morto. | Può essere grigliato su un falò.
27850	Sperlano Morto	Sperlano morto. | Può essere grigliato su un falò.
27851	Shiri Morto	Shiri morto. | Può essere grigliato su un falò.
27852	Carpa Specchio Morta	Carpa specchio morta. | Può essere grigliata su un falò.
27853	Pesce Rosso Morto	Pesce rosso morto. | Può essere grigliato su un falò.
27863	Luccio Grigliato	Rigenera alcuni HP.
27864	Pesce Mandarino Grigl.	Rigenera alcuni MP.
27865	Luccio Grande Grigl.	Rigenera alcuni HP.
27866	Carpa Grigliata	Aumenta temporaneamente la velocità di movimento.
27867	Salmone Grigliato	Rigenera alcuni MP.
27868	Carpa Erbivora Grigl.	Aumenta temporaneamente la velocità di attacco.
27869	Trota Fario Grigliata	Rigenera molti HP.
27870	Anguilla Grigliata	Aumenta per 10 minuti la tua forza di 10 punti
27871	Trota Iridea Grigliata	Rigenera molti MP.
27872	Trota di Torrente Grigl.	Rigenera immediatamente alcuni MP.
27873	Scardola Grigliata	Aumenta per 10 minuti la tua destrezza di 10 punti.
27874	Pesce Persico Grigl.	Toglie gli effetti negativi.
27875	Tenchi Grigliato	Rigenera immediatamente alcuni HP.
27876	Pesce Gatto Grigl.	Rigenera immediatamente alcuni MP.
27877	Cobitidae Grigliato	Ti rende invisibile per 5 minuti.
27878	Pesce Loto Grigliato	Rigenera immediatamente alcuni HP.
27879	Ayu Grigliato	Cotto sul fuoco, questo pesce ha un gradevole sapore affumicato.
27880	Sperlano Grigliato	Attraverso la cottura sul falò, questo pesce acquista un buon sapore affumicato.
27881	Shiri Grigliato	Cotto sul fuoco, questo pesce ha un gradevole sapore affumicato.
27882	Carpa Specchio Grigl.	Attraverso la cottura sul falò, questo pesce acquista un buon sapore affumicato.
27883	Pesce Rosso Grigl.	Attraverso la cottura sul falò, questo pesce acquista un buon sapore affumicato.
27987	Ostrica	Un`ostrica con una bella conchiglia. Potrebbe contenere una perla.
27988	Mappa del Tesoro	Una mappa consunta che rivela il luogo dove è sepolto un antico tesoro.
27989	Bussola dei Metin	La bussola ti indica la direzione e la distanza del Metin più vicino a te. Più sarà luminosa e più sarai vicino. Può essere attivata massimo 6 volte.
27990	Pezzo di pietra	Grazie alla sua ridotta grandezza, si lascia facilmente trasportare ed è utilizzabile in svariati modi.
27991	Pietra Acquatica	Una pietra dura e grossolana usata per affilare armi e utensili da cucina.
55555	Spirito Rosso	Evocando questo spirito otterrai una velocita' strabiliante per alcuni secondi.
55556	Spirito Blu	Evocando questo spirito i tuoi danni raddoppieranno per alcuni secondi.
27992	Perla bianca	Una perla bianco neve. | Le donne l'adorano
27993	Perla blu	Una magnifica perla blu. | Le donne l'adorano
27994	Perla rossa	Un prezioso tesoro dal colore fulvo proveniente dal cuore di un'ostrica.
27995	Bottiglia Vuota	Una bottiglia vuota.
27996	Bottiglia di Veleno	Una bottiglia con del veleno. | Provoca la morte.
27997	Palla Importanza Vitale	Una palla che rigenera alcuni HP.
27998	Sacca dell'Alchimista	La sacca di un alchimista. | Che contenga il segreto dell'alchimia
27999	Sacca Pietre Spirituali	Una sacca con pietre spirituali. Che potrebbe eventualmente contenere pietre da utilizzare per il miglioramento di oggetti.
28044	Pietra anti-magia+0	
28045	Pietra anti-magia+0	
28144	Pietra anti-magia+1	
28145	Pietra anti-magia+1	
28244	Pietra anti-magia+2	
28245	Pietra anti-magia+2	
28344	Pietra anti-magia+3	
28345	Pietra anti-magia+3	
28444	Pietra anti-magia+4	
28445	Pietra anti-magia+4	
29001	Capasanta	Una delle più grandi conchiglie. È dotata di un guscio a forma di pettine.
29002	Capasanta Blu	Lo strato di madreperla di questa Capasanta ha molteplici riflessi bluastri.
29003	Capasanta Gialla	Lo strato di madreperla di questa Capasanta ha molteplici riflessi giallognoli.
29004	Capasanta Rossa	Lo strato di madreperla di questa Capasanta ha molteplici riflessi rossastri.
29005	Capasanta Verde	Lo strato di madreperla di questa Capasanta ha molteplici riflessi verdastri.
29006	P. del Vino Giallo Scuro	Pietra del vino dal colore piuttosto scuro
29007	P. del Vino Blu Scuro	Pietra del vino di colore blu scuro
29008	Acqua Santa Blu	Alla luce del sole la superficie di quest'acqua santa è inondata di riflessi blu.
29009	Acqua Santa Gialla	Alla luce del sole la superficie di quest'acqua santa è inondata di riflessi gialli.
29010	Acqua Santa Rossa	Alla luce del sole la superficie di quest'acqua santa è inondata di riflessi rossi.
29011	Acqua Santa Verde	Alla luce del sole la superficie di quest'acqua santa è inondata di riflessi verdi.
29012	Mano divina blu scuro	Acqua santa blu scuro.
29013	Mano di Dio Giallo Scuro	Acqua santa giallo scuro.
29014	Mano di Dio Rosso Scuro	Acqua santa rosso scuro.
29015	Mano divina verde scuro	Acqua santa verde scuro.
30000	Orzo	Una pinata coltivata spesso usata per la produzione di birra e alimenti
30001	Lettera	Una lettera di qualcuno
30002	Salsiccia Grigliata	Salsiccia cotta con verdure e spezie
30003	Naso di Maiale	Il naso di un maiale
30004	Dente di Cinghiale	Un dente molto forte di un cinghiale
30005	Pezzo di Armatura Rotta	Un pezzo di armatura rotta.
30006	Dente di Orco	Un dente puzzolente di Orco.
30007	Amuleto di Orco	Un amuleto che incoraggia gli Orchi.
30008	Guida Esoterica	Un libro, che introduce i principianti all'arte esoterica.
30009	Medicina Sconosciuta	Una medicina sconosciuta con ingredienti sconosciuti.
30010	Edera	Pianta che cresce sull'Eden, simbolo di Dioniso.
30011	Calantha	Un fiore molto raro che cresce solo sulle Montagne dell'Eden.
30012	Fungo dell'Eden 	Un fungo che cresce sulle montagne dell'Eden.
30013	Boccale di Alcool	Una brocca che serve per contenere alcool.
30014	Pelliccia di Yeti	La pelliccia che protegge dal freddo del leggendario yeti.
30015	Ricordo del Demone	Il ricordo oscuro di un demone.
30016	P. Preziosa del Demone	Una pietra preziosa conosciuta perché contiene l'anima dei morti.
30017	Spillone per capelli	Lo spillone per capelli di donna.
30018	Nastro per Capelli Rosso	Un erba ricercata dall'Eremita.
30019	Criniera Fiammante	I fili della criniera fiammeggiante sono usati per creare abbigliamento invernale.
30020	Nocciolo di Pesca	Vengono da sempre usati per avere una bella pelle.
30021	Pezzo di P. Preziosa	Pietra preziosa rotta da un materiale molto duro.
30022	Coda di Serpente	La coda di un serpente a sonagli.
30023	Pelliccia di Tigre Bian.	La pelliccia di tigre piu ambita dai collezionisti.
30024	Coda di Cavallo	La coda di un cavallo, è usata per creare oggetti di alta qualità come spazzole, cappelli e corde.
30025	Sacca Veleno di Ragno	La sacca del veleno di un ragno.
30026	Intestino di Lupo	Energia assorbita da un talismano.
30027	Pelliccia di Lupo	Energia assorbita da un talismano.
30028	Artiglio di Lupo	Energia assorbita da un talismano.
30029	Fegato di Lupo	Energia assorbita da un talismano.
30030	Lama Arruginita	Energia assorbita da un talismano.
30031	Ornamento	Energia assorbita da un talismano.
30032	Uniforme nera	Una vecchia e consunta uniforme nera.
30033	Porcellana Rotta	Un pezzo di porcellana rotta.
30034	Nastro per Capelli Bian.	Un prezioso nastro per legare i capelli delle donne.
30035	Crema per il viso	Emette una strana luce.
30036	Erba Misteriosa	Un erba leggendaria dagli effetti miracolosi.
30037	Artiglio di Tigre	Un artiglio molto ricercato del Razador.
30038	Pelliccia di Tigre	Il Cuore strappato del Razador.
30039	Pezzo di Pelle	Pelle che viene usata per coprire le ferite.
30040	Foglia	Una foglia di una pianta sconosciuta.
30041	Shuriken	Un arma da tiro usata dai ninja.
30042	Zanna di una Tigre	Un solido e luccicante canino di questo felino.
50038	Zanna di una Tigre	Tesoro custodito negli inferi.
30043	Fagiolo	Ingrediente usato in molte cucine.
30044	Argilla	Argilla usata per la produzione di porcellane.
30045	Ago di Scorpione	Un ago imbevuto nel veleno di scorpione.
30046	Coda di Scorpione	Una coda velenosa di scorpione.
30047	Libro delle Maledizioni	Il libro esoterico che viene usato per maledire qualcuno.
30048	Pezzo di Ghiaccio	Acqua ghiacciata che è eternamente fredda.
30049	Corno Orca di Ghiaccio	Pregiato materiale per scultori.
30050	Palla di Ghiaccio	Una palla di magma. Il Biologo le usa per i suoi studi sulla Terra dei fuochi.
30051	Talismano Sconosciuto	Un talismano sconosciuto, solo gli esoterici possono leggerlo.
30052	Bandiera	Una bandiera, per marcare le truppe dai selvaggi.
30053	Pelle di Zampa d'Orso	Il cibo che fornisce resistenza piu amato dalla gente.
30054	Fede	L'unico anello che deve essere portato fino alla fine.
30055	Chela di Scorpione	Una chela dello scorpione.
30056	Tela di Ragno	Un ragno usa la sua seta per costruirsi una tana.
30057	Occhi di Ragno	Gli occhi di ragno sono molto amati dai collezionisti.
30058	Sacca di uova di ragno	Viene usato dalle donne come rimedio magico per avere figli.
30059	Zampe di Ragno	Gli shamani usano le zampe pelose per il loro lavoro.
30060	Lingua di Rana	Lettera A.
30061	Coscia di Rana	Lettera S.
30062	Ciotola Medica	Lettera H.
30063	Medicina	Lettera E.
30064	Pietra Affilata	Lettera N.
30065	Campanella	Lettera S(b).
30066	Pepe Piccante	Pepe molto piccante.
30067	Pelle di Serpente	La pelle di un serpente.
30068	Bistecca di Tofu	Carne vegetale.
30069	Artiglio di Lupo+	Un artiglio affilato di lupo usato per la creazione di accessori.
30070	Pelliccia di Lupo+	I peli piu grossi del lupo sono usati per creare spazzole e striglie.
30071	Bile d'Orso+	La bile d'orso serve a risvegliare il senso del gusto.
30072	Pelle di Zampa d'Orso+	Il cibo che fornisce resistenza piu amato dalla gente.
30073	Nastro capelli bianco+	Un prezioso nastro per legare i capelli delle donne.
30074	Uniforme nera+	Una vecchia e consunta uniforme nera.
30075	Shiriken+	Un arma da tiro usata dai ninja.
30076	Amuleto dell'Orco+	Un amuleto che incoraggia gli Orchi.
