PET_SKIL_1	Manual Metine
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Dacã aveþi o problemã cu mãrimile, nu intraþi aici! În caz contrar, vei putea jefui aici obiecte care ºi-ar putea aduce faimã ºi avere. Vã rugãm sã mergeþi acolo bine echipat. þara are nevoie de tine ºi mai mult!
TELEPORT_BUTTON_RED_EMPIRE	Regatul Roºu
TELEPORT_BUTTON_YELLOW_EMPIRE	Regatul Galben
TELEPORT_BUTTON_BLUE_EMPIRE	Regatul Albastru
TELEPORT_BUTTON_START	Început
TELEPORT_BUTTON_MIDDLE	Mijloc
TELEPORT_BUTTON_END	Sfârºit
TELEPORT_BUTTON_ENTRY	Intrare
TELEPORT_BUTTON_SKIPIA_1	Primul Etaj
TELEPORT_BUTTON_SKIPIA_2	Al doilea Etaj
TELEPORT_BUTTON_SKIPIA_BOSS	Camera ºef
HUNTING_SYSTEM_TITLE	Nivel Misiune : %d
HUNTING_SYSTEM_TITLE_SELECT	Alege misiunea urmatoare : %d
HUNTING_SYSTEM_TITLE_REWARD	Recompensa : %d
HUNTING_SYSTEM_TITLE_INFO	Informaþii
HUNTING_SYSTEM_TITLE_REWARD_RACE_ITEM	Obiect rasã
HUNTING_SYSTEM_TITLE_REWARD_RANDOM_ITEM	Obiect aleatoriu
HUNTING_SYSTEM_TITLE_REWARD_MONEY_EXP	Yang ºi experienþã
HUNTING_SYSTEM_INFO	Informaþii
HUNTING_SYSTEM_INFO_OVER_LEVEL	Trebuie sã fii nivelul %d pentru a începe urmãtoarea misiune.
HUNTING_SYSTEM_INFO_COMPLETE_ALL	Ai terminat toate misiunile!
HUNTING_SYSTEM_RACE_TOOLTIP	Recompensa poate depinde de rasa ta.
HUNTING_SYSTEM_MOB	Monstru
HUNTING_SYSTEM_AMOUNT	Cantitate
HUNTING_SYSTEM_AMOUNT_TEXT	%d di %d
HUNTING_SYSTEM_DESTINATION	Poziþie
HUNTING_SYSTEM_MONEY	Yang
HUNTING_SYSTEM_MONEY_TEXT	%d - %d
HUNTING_SYSTEM_EXP	Experienþã
HUNTING_SYSTEM_EXP_TEXT	%d%% - %d%%
HUNTING_SYSTEM_PROGRESS	Progres
HUNTING_SYSTEM_BUTTON_SELECT	Alege
HUNTING_SYSTEM_BUTTON_OPEN_REWARD	Deschide
HUNTING_SYSTEM_BUTTON_MINI_UI_ON	Activaþi Trackers
HUNTING_SYSTEM_BUTTON_MINI_UI_OFF	Dezactivare Trakers
BIOLOG_INFO	Biolog
CHATTING_SETTING_CANCLE	Anulare
CHATTING_SETTING_CLEAR	Resetare
CHATTING_SETTING_DEFAULT_TITLE	General
CHATTING_SETTING_DETAIL	Setãrile sistemului
CHATTING_SETTING_DICE	Zaruri
CHATTING_SETTING_DICE_SETTING	Setarea zarurilor
CHATTING_SETTING_EXP	Experienþã
CHATTING_SETTING_GOLD	Gold
CHATTING_SETTING_GUILD	Breaslã
CHATTING_SETTING_ITEM	Obiecte
CHATTING_SETTING_LANGUAGE_1	Limba 1
CHATTING_SETTING_LANGUAGE_2	Limba 2
CHATTING_SETTING_LANGUAGE_3	Limba 3
CHATTING_SETTING_LANGUAGE_CUR	Limba curentã ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filtru
CHATTING_SETTING_LIST	Listã
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Salveazã
CHATTING_SETTING_SHOUT	Chat Global
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Setãri pentru nume de chat
CHATTING_SETTING_TALKING	General
CHATTING_SETTING_TITLE	Setãri de chat
GUILD_RANKING_TITLE	Clasamentul Breslelor
GUILD_RANKING_COUNT	#
GUILD_GUILD_NAME	Nume
GUIlD_OWNER_NAME	Lider
GUILD_LEVEL	Nivel
GUILD_POINT	Puncte
GUILD_WIN	Câºtigate
GUILD_DRAW	Remizã
GUILD_LOSS	Pierdute
RANKING_TITLE	Clasament
RANKING_COUNT	#
RANKING_NAME	Nume
RANKING_LEVEL	Nivel
RANKING_GUILD	Breaslã
GEMSHOP_LEFTTIME	Timp rãmas
GEMSHOP_TITLA	GAYA MARKET
ENB_MODE	HD Mode
ENB_MODE_ON	On
ENB_MODE_ON_TOOLTIP	(HD)
ENB_MODE_OFF	Off
ENB_MODE_OFF_TOOLTIP	Default)
OPTION_FOV	Visual PoV
KILL_STATISTICS_TITLE	Statistici Kill
KILL_STATISTICS_PVP_TITLE	Statistici liber PvP
KILL_STATISTICS_PVPD_TITLE	Statistici dueluri PvP
KILL_STATISTICS_PVM_TITLE	PvM Statistici
KILL_STATISTICS_JINNO	Regatul Jinno
KILL_STATISTICS_SHINSOO	Regatul Shinsoo
KILL_STATISTICS_CHUNJO	Regatul Chunjo
KILL_STATISTICS_TOTAL	Total uciºi
KILL_STATISTICS_TOTAL_D	Uciºi total
KILL_STATISTICS_KD	K/D
KILL_STATISTICS_DUELS_TOTAL	Dueluri totale
KILL_STATISTICS_DUELS_W	Dueluri câºtigate
KILL_STATISTICS_DUELS_L	Dueluri pierdute
KILL_STATISTICS_BOSSES	ªefi
KILL_STATISTICS_STONES	Pietre Metin
GUILD_DRAGONLAIR_RANKING	Clasament
GUILD_DRAGONLAIR_RANKING_COUNT	Loc
GUILD_DRAGONLAIR_RANKING_MEMBER	Membrii
GUILD_DRAGONLAIR_RANKING_NAME	Breaslã
GUILD_DRAGONLAIR_RANKING_TIME	Timp
ROULETTE_SPECIAL_TITLE	Recompensã (%s)
ROULETTE_SPIN_TEXT1	Învârte
ROULETTE_SPIN_TEXT2	50 Suflete
ROULETTE_SPIN_TEXT3	250,000 Yang
ROULETTE_TITLE	Recompensã
SWITCHER_CHANGEBONUS	Schimbaþi bonusurile
SWITCHER_TITLE	Schimbaþi bonusurile
SWITCHER_BONUS	Bonus
QUEST_CATEGORY_00	Misiune principalã
QUEST_CATEGORY_01	Misiune secundarã
QUEST_CATEGORY_02	Misiuni de vânãtoare
QUEST_CATEGORY_03	Misiuni de eveniment
QUEST_CATEGORY_04	Misiuni Biolog
QUEST_CATEGORY_05	Misiuni de joc
QUEST_CATEGORY_06	Misiuni de carte
QUEST_CATEGORY_07	Liga Campionilor
CUBE_RENEWAL_TITLE	Rafinament
CUBE_RENEWAL_BELT_IMPROVE	Mãreºte ªansa
AURA_MAIN	Aura
AURA_SUB	Materiale
DUNGEON_INFO_WARP	Test
DUNGEON_INFO	Dungeons
DUNGEON_INFO_TELEPORT	Teleporteazã
DUNGEON_INFO_TYPE	Tip de acces:
DUNGEON_INFO_ORGANIZATION	Organizare
DUNGEON_INFO_LEVEL_LIMIT	Nivel necesar:
DUNGEON_INFO_PARTY_MEMBERS	Limitã membrii
DUNGEON_INFO_COOLDOWN	Timp de aºteptare rãmas:
DUNGEON_INFO_DURATION	Timp:
DUNGEON_INFO_ENTRANCE	Access:
DUNGEON_INFO_STRENGTH	Rezistenþã:
DUNGEON_INFO_RESISTANCE	Talisman:
DUNGEON_INFO_CLOSE	Inchide
IN_GAME_SHOP_ENABLE	CHECK
AEON_PERFORMANCE	FPS:
TASKBAR_OFFLINE_SHOP	Vânzãtoare
AURA_YUKSELTPANEL	Îmbunãtãþiþi-vã Aura
OPTION_YANGTEXT	Drop Chat
OPTION_YANGTEXT_VIEW_OFF	Ascunde
OPTION_YANGTEXT_VIEW_ON	Vizulizeazã
AURA_BONUSEMISPANEL	Absoarbe bonusuri
AURA_MAIN	Aura
TASKBAR_MONEY_EXPAND	Bani
AURA_SUB	Materiale
ACHIEVEMENT_TITLE	Daune si statistici
ACHIEVEMENT_SHOP_TITLE	Magazin
MESSENGER_ADD_BLOCK	Block
MINI_GAME_RUMI_DISCARD_TEXT	Secure Mode
MINI_GAME_RUMI_EXIT	End
MINI_GAME_RUMI_LBUTTON_DESC	Left-click to add card
MINI_GAME_RUMI_RBUTTON_DESC	Right-click to discard card
MINI_GAME_RUMI_SCORE	Score
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Okey Card Game
ACCEPT	OK
NEW_EXCHANGE_YOU	Tu
ACCE_ABSORB	Bonus de Absorbþie
ACCE_COMBINE	Combinaþie
INVENTORY_SEPARATE	Ordine
ACCE_MAIN	Eºarfã 1
ACCE_RESULT	Rezultat
ACCE_SERVE	Eºarfã 2
ATTACH_METIN_INFO	Doreºti sã utilizezi Piatra Spiritului
ATTACH_METIN_TITLE	Foloseºte Piatra Spiritului
ATTENDANCE_TITLE	Eveniment Spintecãtorul de ªefi
AUTO_AUTO_ATTACK	Atac
AUTO_AUTO_POSITION	Licori
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_SKILL	Abilitãþi
AUTO_CLEAR	Curãþã
AUTO_END	Stop
AUTO_OFF	Off
AUTO_ON	On
AUTO_POSITION_SETTING	Licori
AUTO_SETTING	Setãri
AUTO_SKILL_SETTING	Abilitãþi
AUTO_START	Start
MANTELLO_TITLE	Mantia curajului
RUNE_TITLES	Runa Mozaic
SEARCH_ITEM	Cautare item
RETIRE_ITEM	Retrage item
RETIRE_MONEY	Retrage Yang
OFFSHOP_TITLEOPEN	 Deschide Magazin
OFFSHOP1_EDIT	Editeazã magazin
OFFSHOP1_NAME	Nume magazin
OFFSHOP1_CLOSE	Inchide magazin
OFFSHOP1_MENU	Opþiuni magazin offline
DURATA_OFFSHOP	Duratã Shop:
CREA_OFFSHOP1	Creeazã magazin
YANG_CHECK	Yang
OFFSHOP_CREATE_SYSTEM	<Creeazã un magazin>
ORE_OFFSHOP	Ore
OFFSHOP_TITLE_SYSTEM	Magazin
AUTO_TITLE	Auto-vânãtoare
DAILY_REWARD01	Recompensã zilnicã
DAILY_REWARD02	Recompensã
DAILY_REWARD03	Colectare
DAILY_REWARD04	Recompense disponibile:
DAILY_REWARD05	Timp:
FAST_EQUIP	Schimbarea echipamentului
BANNER_ATTENDANCE_BUTTON	Evenimentul Vanatoarea de ºefi
BANNER_MONSTERBACK_BUTTON	Strânge puncte de viaþã
BANNER_OKEY_BUTTON	Event Okey
BATTLE_FIELD_INFO	Zona de luptã
BATTLE_FIELD_OPERATION_TIME	Este posibil sã intraþi în zona de luptã de la %s:00 la %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Vã puteþi autentifica în orice moment.
BATTLE_FIELD_OPERATION_TIME_END	Zona de luptã este deschisã pentru înca %s ore.
BATTLE_FIELD_OPERATION_TIME_NA	Momentan nu este posibil sã vã autentificaþi.
BATTLE_FIELD_OPERATION_TIME_OPEN	Puteþi accesa încã %s h pentru %s h.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Regatul
BATTLE_FILED_RANK_NAME	Nume
BATTLE_FILED_RANK_POINT	Puncte
CANCEL	Întrerupe
CHANGE_PASSWORD_CONFIRM	Confirmaþi noua parolã
CHANGE_PASSWORD_NEW	Noua parolã
CHANGE_PASSWORD_OLD	Vechea Parolã
CHANGE_PASSWORD_TITLE	Modificã parola
CHARACTER_ACTION	Acþiuni
CHARACTER_EMOTICON	Emoþie
CHARACTER_MAIN	Caracter
CHARACTER_MUTUAL_ACTION	Acþiuni interactive
CHARACTER_NORMAL_ACTION	Acþiuni normale
CHARACTER_QUEST	Misiune
CHARACTER_SKILL	Abilitãþi
CHAT_FILTER	Filtru de chat
CHAT_FILTER_DICE	Zar
CLOSE	Închide
COMB_SKILLBOOK_TILE	Schimb de cãrþi
COSTUME_TITLE	Costum
COSTUME_WINDOW_TITLE	Costum
CREATE_ATT_GRADE	STR
CREATE_CREATE	Taxã
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Puncte
CREATE_MAN	Masculin
CREATE_NAME	Nume
CREATE_NEXT	Urmãtorul
CREATE_PREV	Înapoi
CREATE_SEX	Sex
CREATE_SHAPE	Aspect
CREATE_SP	INT
CREATE_STAT_RESET	Resetare
CREATE_WOMAN	Feminin
CUBE_INFO_TITLE	Manual de pescuit
CUBE_REQUIRE_MATERIAL	Materiale necesare
CUBE_REQUIRE_MATERIAL_OR	Sau
CUBE_TITLE	Fereastra rafinamentului
CURRENT_POINT	Puncte actuale: %s
DO_REFINE	Rafinament
DRAGONSOUL_ACTIVATE	Activare
DRAGONSOUL_PAGE_BUTTON_1	Brut
DRAGONSOUL_PAGE_BUTTON_2	Tãiat
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antic
DRAGONSOUL_PAGE_BUTTON_5	Legendar
DRAGONSOUL_REFINE_WINDOW_TITLE	Fereastrã Rafinament
DRAGONSOUL_TAP_TITLE_1	Diamant Dragon
DRAGONSOUL_TAP_TITLE_2	Rubin Dragon
DRAGONSOUL_TAP_TITLE_3	Jad Dragon
DRAGONSOUL_TAP_TITLE_4	Safir Dragon
DRAGONSOUL_TAP_TITLE_5	Granat Dragon
DRAGONSOUL_TAP_TITLE_6	Onyx Dragon
DRAGONSOUL_TITLE	Alchimie Piatrã Dragon
EMPIRE_EXIT	Sfârºit
EMPIRE_NEXT	Continuã
EMPIRE_PREV	Înapoi
EMPIRE_SELECT	Alege
ENTER_BATTLE_FIELD	Intrã
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Negociazã
EXIT_BATTLE_FIELD	Vrei cu adevãrat sã pãrãseºti Zona de Rãzboi?
EXIT_BATTLE_FIELD_ON_DEAD	Vrei sã pãrãseºti Zona de Rãzboi cu %d puncte?
GAMEOPTION_TITLE	Opþiuni joc
GAME_EXIT_OBSERVER	Închide modul spectator
GAME_GUILD_WAR_JOIN	Participã rãzboi breaslã
GAME_HELP	Ajutor
GAME_QUEST	Sarcini
GAME_SKILL_UP	Creºte Abilitãþile
GAME_STAT_UP	Creºte statusul
GRADE	Clasa
GRADE_SELECT	Clasa
GUILDWINDOW_BASE_BUFF	Bonus Breaslã
GUILD_BANKINFO_CLOSE	Închis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TITLE	Log Depozit Breaslã
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Acþiune
GUILD_BANK_CLOSE	Închis
GUILD_BANK_INFO	Paginã:
GUILD_BANK_NUMBER	Numãr bancã
GUILD_BASEINFO_BANK	Depozit Breaslã
GUILD_BASEINFO_BANKLASTOUT	Ultimul Obiect Luat
GUILD_BASEINFO_BUILDING	Clãdire Breaslã
GUILD_BASEINFO_DEAL	Vinde Teritoriu Breaslã
GUILD_BASEINFO_FACTORY	Fierar Breaslã
GUILD_BASEINFO_GOLDMANAGE	Tranzacþie
GUILD_BASEINFO_GUILDLAND	Teritoriu Breaslã
GUILD_BASEINFO_LANDABANDON	Desfiinþeazã Teritoriu Breaslã
GUILD_BASEINFO_LANDSCAPE	Altele
GUILD_BASEINFO_LOCALE	Locaþie
GUILD_BASEINFO_MONEY	Balanþã
GUILD_BASEINFO_MONEYBANKINFO	Informaþii Bancã Breaslã
GUILD_BASEINFO_MONEYIN	Depunere
GUILD_BASEINFO_MONEYLASTOUT	Ultima Retragere
GUILD_BASEINFO_MONEYOUT	Retragere
GUILD_BASEINFO_POWER	Altarul Puterii
GUILD_BASEINFO_SMEITER	Alchimist Breaslã
GUILD_BASEINFO_TITLE	Informaþii Teritoriu
GUILD_BASEINFO_VOTE	Vot
GUILD_BASENAME	Nume bazã
GUILD_BOARD_ID	Nume
GUILD_BOARD_REFRESH	Actualizeazã
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Unitãþi de construcþie
GUILD_BUILDING_CHANGE	Schimbã
GUILD_BUILDING_CHANGE_DELETE	ªterge
GUILD_BUILDING_CHANGE_FIX	Reconstrucþie Breaslã
GUILD_BUILDING_CHANGE_LIST	Listã Proprietãþi Breaslã
GUILD_BUILDING_DIRECTION	Orientare
GUILD_BUILDING_FIX	Reconstrucþie
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_INFO	Informaþii clãdire si costuri
GUILD_BUILDING_LIST_TITLE	Listã de clãdiri
GUILD_BUILDING_LOG	Buºtean
GUILD_BUILDING_NAME	Nume clãdire
GUILD_BUILDING_OPERATE	Opereazã
GUILD_BUILDING_PLY	Placaj
GUILD_BUILDING_POSITION	Poziþie
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Preþ
GUILD_BUILDING_REFRESH	Actualizeazã
GUILD_BUILDING_STONE	Piatrã
GUILD_BUILDING_TITLE	Construcþie casa breslei
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Plãteºte
GUILD_DRAGONLAIR_RANKING	Ranguri
GUILD_DRAGONLAIR_RANKING_COUNT	Rang
GUILD_DRAGONLAIR_RANKING_MEMBER	Membru
GUILD_DRAGONLAIR_RANKING_NAME	Breaslã
GUILD_DRAGONLAIR_RANKING_TIME	Timp
GUILD_DROP_RESOURCE1	aici
GUILD_DROP_RESOURCE2	Aruncã resursa
GUILD_GEM	Piatrã preþioasã
GUILD_GRADE_CHANGE_GRADE_NAME	Nume rang nou
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Se poate utiliza banca breslei ºi depozitul
GUILD_GRADE_PERMISSION_DELETE	Înlãturã din breaslã
GUILD_GRADE_PERMISSION_JOIN	Poate accepta jucãtori in breaslã
GUILD_GRADE_PERMISSION_NOTICE	Poate compune mesaje breaslã
GUILD_GRADE_PERMISSION_SKILL	Abilitãþi breaslã
GUILD_GRADE_PERMISSION_WAR	Poate alege membri combatanþi
GUILD_GRADE_RANK	Poziþie
GUILD_GRADE_WRITE	Scrie
GUILD_INFO	Informaþii breaslã
