TOOLTIP_AFFECT_POTION_7	Rouã Roz	SNA
SELL_PRICE_INFO	[Preþul de vânzare]
WIKI_SUBCATEGORY_D_MELEY	Temniþa lui Meley
WIKI_SUBCATEGORY_D_NEMERE	Turnul lui Nemere
WIKI_SUBCATEGORY_D_RAZADOR	Purgatoriul Iadului
WIKI_SUBCATEGORY_D_OCHAO	Templul Ochao
WIKI_SUBCATEGORY_D_JOTUN	Jotun Thrym
WIKI_SUBCATEGORY_D_NAVE	Apãrarea Navei
WIKI_SUBCATEGORY_D_PIRAMIDE	Piramida Antica
MASK_HP	HP: %s / %s
WIKI_SUBCATEGORY_EARRINGS	Cercei
WIKI_SUBCATEGORY_BRACELET	Brãþãri
WIKI_SUBCATEGORY_NECKLACE	Coliere
WIKI_SUBCATEGORY_SHOES	Papuci
WIKI_CATEGORY_CHESTS	Cufere
WIKI_SUBCATEGORY_CHESTS	ºefi
WIKI_SUBCATEGORY_DUNGEONS	Din Dungeonuri
WIKI_SUBCATEGORY_EVENT_CHESTS	De evenimente
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	Evenimente
WIKI_CATEGORY_BOSSES	ºefi
WIKI_SUBCATEGORY_LV1_75	Nivelul 1-75
WIKI_SUBCATEGORY_LV76_100	Nivelul 76+
WIKI_SUBCATEGORY_LV100	Nivelul 100+
WIKI_CATEGORY_MONSTERS	Monºtri
WIKI_CATEGORY_METINSTONES	Pietre metin
WIKI_CATEGORY_SYSTEMS	Sisteme
WIKI_SUBCATEGORY_REACTION_EVENT	Evenimente
WIKI_SUBCATEGORY_SHAMY	SUPPOT SHAMY
WIKI_SUBCATEGORY_DRAGONALCHEMY	Alchimie
WIKI_SUBCATEGORY_SHOULDER_SASH	Eºarfã
WIKI_SUBCATEGORY_EPIC_SYSTEM	Epicizãri
WIKI_SUBCATEGORY_COSTUME_SASH	Costum eºarfã
WIKI_SUBCATEGORY_COSTUMES	Costume
WIKI_SUBCATEGORY_BATTLEPASS	BattlePass
WIKI_SUBCATEGORY_BOOST	Boost abilitãþi
WIKI_SUBCATEGORY_PASSIVE	Abilitãþi pasive
WIKI_SUBCATEGORY_BIOLOGIST	Biolog
WIKI_SUBCATEGORY_ANTIFARM	Multi-Farm block
WIKI_SUBCATEGORY_FREEZE	Blocaþi bonusurile
WIKI_SUBCATEGORY_GAYA	Gaya
WIKI_SUBCATEGORY_GUILD	Breaslã
WIKI_SUBCATEGORY_OFFLINESHOP	Magazin Offline
WIKI_SUBCATEGORY_SKILL_COLOR	Culoarea abilitãþii
WIKI_CATEGORY_DUNGEONS	Temniþe
WIKI_SUBCATEGORY_HAIRSTYLES	Frizuri
WIKI_SUBCATEGORY_PET	Pet
WIKI_SUBCATEGORY_PET_COSTUMES	Costume pet
WIKI_SUBCATEGORY_ANIME	Suflete
WIKI_SUBCATEGORY_MOUNT	Mounturi
WIKI_SUBCATEGORY_MOUNT_COSTUMES	Costume mount
WIKI_CATEGORY_COSTUMES	Costume
WIKI_CATEGORY_EVENTS	Eventuri
WIKI_CATEGORY_GUIDES	Ghid
WIKI_REFINEINFO_YANG_COSTS	Costul Yang
WIKI_REFINEINFO_UPGRADE_COSTS	Cel mai bun preþ
WIKI_REFINEINFO_ITEM_LEVEL	Nivelul %i
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_CHESTINFO_CONTENTOF	Conþinutul %s
WIKI_CHESTINFO_COMMON_DROP	Drop comun
WIKI_MONSTERINFO_DROPLISTOF	Dropul de %s
WIKI_MONSTERINFO_LEVEL	Nivelul: %i
WIKI_MONSTERINFO_IMMUNE_TO	Imun la: %s
WIKI_MONSTERINFO_DMG_HP	Daune min.:%s | Daune max.:%s | Max. HP: %s
WIKI_MONSTERINFO_GOLD_EXP	Yang min.: %s | Yang max.: %s | EXP: %s
WIKI_MONSTERINFO_RESISTANCES	Apãrãri
WIKI_MONSTERINFO_IMMUNE_NOTHING	nimic
WIKI_MONSTERINFO_STATISTICSOF	status de %s
WIKI_ITEMINFO_OPTAINEDFROM	Disponibil pentru
WIKI_ITEMINFO_REFINEINFO	Informaþii de imbunãtãþire %s
WIKI_TITLENAME	Wiki
WIKI_TITLE	Wiki Emeria
WIKI_SUBCATEGORY_BELTS	Curele
WIKI_SUBCATEGORY_TALISMANS	Talismane
WIKI_SUBCATEGORY_STOLE	Eºarfe
WIKI_SUBCATEGORY_STOLE_COSTUMES	Costume eºarfã
WIKI_SUBCATEGORY_WEAPONS_EFFECT	Efecte armã
WIKI_SUBCATEGORY_ARMORS_EFFECT	Efecte armurã
WIKI_SUBCATEGORY_TRANSLATE	Traduceri
WIKI_SUBCATEGORY_RNSS	Rune
WIKI_SUBCATEGORY_LV76_105	LV. 76-105
WIKI_SUBCATEGORY_SHIELD	Scuturi
WIKI_SUBCATEGORY_HELMET	Coifuri
WIKI_SUBCATEGORY_ARMOR	Armuri
WIKI_SUBCATEGORY_WEAPONS	Arme
WIKI_CATEGORY_EQUIPEMENT	Echipamente
WIKI_SEARCH_OVERLAY_TEXT	Cãutare
WIKI_EXACT_SEARCH_TEXT	Cãutare exactã
WIKI_MONSTERINFO_DAMAGE	Daune: %s-%s
WIKI_MONSTERINFO_DEFENSE	Apãrare: %s
WIKI_MONSTERINFO_EXP	Experienþã: %s
WIKI_MONSTERINFO_MAINRACE	Rasã: %s
WIKI_MONSTERINFO_MAX_HP	Max HP: %s
WIKI_MONSTERINFO_NO_RACE	Nu
WIKI_MONSTERINFO_RACE_ANIMAL	Animale
WIKI_MONSTERINFO_RACE_UNDEAD	Vampiri
WIKI_MONSTERINFO_RACE_DEVIL	Diavoli
WIKI_MONSTERINFO_RACE_HUMAN	Semi-om
WIKI_MONSTERINFO_RACE_ORC	Orci
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_TREE	Copaci
WIKI_MONSTERINFO_RACE_ELEC	Fulger 
WIKI_MONSTERINFO_RACE_FIRE	Foc
WIKI_MONSTERINFO_RACE_ICE	Gheaþã
WIKI_MONSTERINFO_RACE_WIND	Vânt
WIKI_MONSTERINFO_RACE_EARTH	Pãmânt
WIKI_MONSTERINFO_RACE_DARK	Întuneric
WIKI_MONSTERINFO_RACE_METIN	Pietra Metin
WIKI_MONSTERINFO_STONE_NAME	Piatra Spiritualã
WIKI_MONSTERINFO_SUBRACE	Sub-rasã: %s
WIKI_MONSTERINFO_IMMUNE_STUN	Necunostinþã
WIKI_MONSTERINFO_IMMUNE_SLOW	Încetini
WIKI_MONSTERINFO_IMMUNE_CURSE	Blesteme
WIKI_MONSTERINFO_IMMUNE_POISON	Otravã
WIKI_MONSTERINFO_IMMUNE_TERROR	Teroare
GUARDAROBA_4	Mod implicit
GUARDAROBA_3	Schimbare
GUARDAROBA_2	Îmbrãcãminte
GUARDAROBA_1	Preseturi
OPTION_VIEW_CHAT	Vizualizeazã chat
OPTION_VIEW_CHAT_ON	Spectacol
GAMEOPTION_HIDE	Ascunde
CANCEL	Înapoi
YES	Da
REMOVE	ºterge
GUILD_REQUEST_NONE_SKILL	Nimic
GUILD_REQUEST_MASTER_REQUEST	Doriþi sã acceptaþi cererea %s?
GUILD_REQUEST_REMOVE_REQUEST	Doriþi sã eliminaþi auto-solicitarea?
GUILD_REQUEST_SEND_REQUEST	Doriþi sã trimiteþi cererea?
GUILD_REQUEST_POSITION	Poziþie
GUILD_REQUEST_GUILD_NAME	Breaslã
GUILD_REQUEST_PLAYER_NAME	Player
GUILD_REQUEST_LEVEL	Nivel
GUILD_REQUEST_RANK	Rank
GUILD_REQUEST_MEMBER	Membru
GUILD_REQUEST_REQUEST	Cerere
GUILD_REQUEST_CLASS	Clasã
GUILD_REQUEST_SUB_CLASS	Sub Clasã
SELECT_SKILL_FIRST	Mai întâi trebuie sã alegi clasa.
SELECT_SKILL_J	Sigur doriþi sã alegeþi clasa: %s
HNT_UNKOWN	Necunoscut
HNT_OPEN_APRI	Tu deschizi
BIO_S_L_B	Selectat: Lv. %d\tLimita de timp: %d minute
BIO_LUCK1	Avere: 100%
BIO_LUCKK	Avere: %d%%
BIO_RREWARD	Rãsplatã
BIO_CONSEGNA	Livrare
BIO_CURRENT_NEXT_TRY	Urmãtoarea incercare: %s
BIO_CURRET_LV	Actual: Lv. %d
BIO_NO_MIX_ICON	Faceþi click pe imagine pentru a activa
BIO_NO_MIX_S	Nicio misiune selectatã
BIO_NO_MIX	Fãrã misiuni
RICOMPENSA_HNT	Mai întâi trebuie sã vã deschideþi recompensa pentru a închide aceastã fereastrã.
ACCEDI_NESSUNO	Nimeni
ACCEDI_INTERFACE	LOGIN LA EMERIA-Introduceþi datele
ACCEDI_INTERFACE1	Conturi salvate
ACCEDI_INTERFACE2	Selectaþi canale
BOTTONE_SALVA	Salvaþi
SELECT_PLAYTIME	Timp Online: %d minute
CHARACTER_CREATE_MODE	Creazã caracter
CHARACTER_SELECT_MODE	Alege caracter
CHARACTER_CREATE_MALE	Bãrbat
CHARACTER_CREATE_FEMALE	Femeie
CHARACTER_CREATE_APPEARANCE1	Forma 1
CHARACTER_CREATE_APPEARANCE2	Forma 2
INTRO_SELECT_LEVEL	Lv. %d
EMPIRE_SELECT	Alege
EMPIRE_SELECT_MODE	Alege regat
EXTENDET_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	Acesta nu este un bilet Battle-Pass
EXTENDET_BATTLE_PASS_RANKLIST_REFRESH	Clasamentul a fost actualizat.
EXTENDET_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	Trebuie sã aºteptaþi %d pânã se actualizeazã clasamentul.
WELCOME_DISCORD	- Alãturaþi-vã comunitãþii noastre Discord -
WELCOME_ACCOUNT	Nu ai un cont? Creeazã-l acum!
WELCOME_MESSAGE	Bine aþi venit pe Emeria - Nu uitaþi sã respectaþi T&C-urile serverului, vã dorim distracþie plãcutã.
MAILBOX_FAIL_USE_TIME_LIMIT	Se actualizeazã cutia poºtalã. Vã rugãm sã încercaþi din nou mai târziu.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Fãrã mesaje
MAILBOX_POST_ALL_DELETE_QUESTION1	Doriþi sã stergeþi toate mesajele?
MAILBOX_POST_ALL_DELETE_QUESTION2	Mesajele cu ataºamente nu vor fi ºterse.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nu aveþi mesaje cu ataºamente în cutia poºtalã.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Acceptaþi ataºamente? (Minus 5% impozit pe Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Mesajul nu a putut fi ºters. Vã rugãm sã acceptaþi mai întâi ataºamentul.
MAILBOX_POST_DELETE_QUESTION	Chiar vrei sã ºtergi acest mesaj?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Articolele nu au putut fi acceptate. Inventarul dvs. este plin.
MAILBOX_POST_GET_ITEMS_QUESTION	Accepþi ataºamentul? (Minus 5% taxe în Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nu poþi accepta mai mult Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nu poþi accepta mai mult Yang.
MAILBOX_POST_GM_ARRIVE	GM Message
MAILBOX_POST_NOT_CONFIRM_INFO_1	Mesaje necitite: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Fãrã ataºamente: %d / Cu ataºamente: %d
MAILBOX_POST_READ_BLOCK	Eºti sigur cã doreºti sã blochezi jucãtorul %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Poþi trimite doar un singur obiect într-un mesaj.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Separã obiectele în inventar înainte de a ataºa unul în mesaj.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatar necunoscut. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Cutia poºtalã a destinatarului este plinã. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Puteþi trimite mesaje de la nivelul 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Nu aveþi suficient Yang pentru a trimite acest mesaj.
MAILBOX_POST_WRITE_NAME_CHECK	Confirmaþi numele destinatarului fãcând clic pe Verificare destinatar.
MAILBOX_POST_WRITE_NAME_EMPTY	Introduceþi destinatarul.
MAILBOX_POST_WRITE_QUESTION1	Doriþi sã trimiteþi mesajul cãtre %s acum?
MAILBOX_POST_WRITE_QUESTION2	Taxa de livrare: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Introduceþi un destinatar.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Introduceþi un subiect.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Bani
MAILBOX_POST_WRITE_WRONG_ITEM	Nu puteþi trimite articole legate de suflet.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Mesajul conþine cuvinte nepermise.
MAILBOX_POST_WRITE_WRONG_TITLE	Subiectul conþine cuvinte nepermise.
SET_ITEM_DROP_QUESTION_DIALOG_STATUS	Test
TOOLTIP_ATTBONUS_BOSS	Puternic împotriva ºefilor +%d%%	SA
TOOLTIP_ATTBONUS_METIN	Puternic împotriva metinului +%d%%	SA
ANTI_MULTIPLE_FARM_TOOLTIP	Control multi-farm
ANTI_MULTIPLE_FARM_ADVISE_1	Puteþi selecta maximum {} caractere!
ANTI_MULTIPLE_FARM_ADVISE_2	Personajele pe care le-aþi selectat sunt deja deblocate.
ANTI_MULTIPLE_FARM_ADVISE_3	Trebuie sã selectaþi {} caractere obligatorii.
ANTI_MULTIPLE_FARM_REFRESHED	Controlul multi-farm a suferit o actualizare.
ANTI_MULTIPLE_FARM_ATTEND_CHANGE_STATUS	Solicitarea de modificare a fost trimisã, vã rugãm sã aºteptaþi.
ANTI_MULTIPLE_FARM_MESSAGE	Trebuie sã aveþi cel puþin {} caractere online.
TOOLTIP_AFFECT_POTION_1	Rouã roºie	SNA
TOOLTIP_AFFECT_POTION_2	Rouã roz	SNA
TOOLTIP_AFFECT_POTION_3	Rouã galbenã	SNA
TOOLTIP_AFFECT_POTION_4	Rouã verde	SNA
TOOLTIP_AFFECT_POTION_5	Rouã albastrã	SNA
TOOLTIP_AFFECT_POTION_6	Rouã albã	SNA
TOOLTIP_AFFECT2_POTION_1	Apã Criticã	SNA
TOOLTIP_AFFECT2_POTION_2	Apã Pãtrunzãtoare	SNA
TOOLTIP_AFFECT2_POTION_3	Apã Vânãtorã	SNA
TOOLTIP_AFFECT2_POTION_4	Apã Magie	SNA
TOOLTIP_AFFECT2_POTION_5	Apã Atac	SNA
TOOLTIP_AFFECT2_POTION_6	Apã Apãrare	SNA
MOVE_ITEM_FAILURE_OFFLINE_SHOP	Nu poþi face asta.
MAINTENANCE_DESCRIPTION	<TEXT text="Întreþinerea serverului în " font_size="LARGE"><TEXT text="%s" r=255 g=0 b=0 font_size="LARGE"><TEXT text=" Duratã de viaþã estimatã: %s" font_size ="MARE">
POLYMORPH_AFFECT_TOOLTIP	Sfera de transformare a SNA
POLYMORPH_AFFECT_REMOVE_QUESTION	Doriþi sã eliminaþi transformarea?
SHOP_NOT_ENOUGH_ITEM	Nu ai suficiente obiecte.
SKILL_COLOR_SELECT_PRESET	Selectaþi o culoare
TEXT_CHANNEL	%s, canal
SHIP_MAST	Catargul navei
DUNGEONTIMER_WAVE	%d.undã
DUNGEONTIMER_FLOOR	%d.Etaj
PVP_TITLE	Duel - %s
PVP_PET_TEXT	Pet
PVP_NEW_PET_TEXT	Pet nou
PVP_SAVED_OPTIONS	|Eemoji/saved_data|e Opþiuni salvate
PVP_SAME_NAME	Numele existã deja!
PVP_TEXT_EMPTY	Nu poþi salva fãrã text!
PVP_SAVE	Salvare
PVP_OK	Ok
PVP_CANCEL	Anulare
PVP_BET_TEXT	Pariezi:
PVP_CRITICAL_DAMAGE_SKILLS	Daune critice(abilitãþi)
PVP_POISONING	Otrãvire
PVP_HALF_HUMAN	Mezziuomini -50%
PVP_BUFFI_SKILLS	Buff-Abilitãþi
PVP_MISS_HITS	Lovituri ratate
PVP_DISPEL_EFFECTS	Anuleazã efectele
WORLDBOSS_GUARD_NAME	Paznic:
NPC_SEARCH	Vâneazã NPC-ul
NPC_SEARCH_TEXT	Se gãseºte în hãrþi:
MOUNT_SOHAN_MAP_NAME	Muntele Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Card
MOUNT_YONGBI_MAP_NAME	Deºert
TOURNAMENT_ALL_CHARACTER	Toate cursele
NORMAL_EVENT_TIME	De la: %s la: %s
PVP_EVENT_TIME	Început: %s
NONE_AFFECT	Fãrã Afect
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
ALL_KINGDOMS	|cFF97AE99Zayos:|h|r
RED_KINGDOM	|cFFFBB497Shinsoo:|h|r
BLUE_KINGDOM	|cFF8CADDBJinno:|h|r
YELLOW_KINGDOM	|cFFFDE696Chunjo:|h|r
EVENT_TOOLTIP_TITLE	%s eveniment:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Niciun eveniment programat
DOUBLE_BOSS_LOOT_EVENT	Evenimentul Boss Revolt
DOUBLE_METIN_LOOT_EVENT	Eveniment de ploaie Metin
DOUBLE_MISSION_BOOK_EVENT	Eveniment de înþelepciune
DUNGEON_COOLDOWN_EVENT	Timp rãmas pentru temniþã
DUNGEON_TICKET_LOOT_EVENT	Bilet Rain Dungeon
EMPIRE_WAR_EVENT	Rãzboi între tãrâmuri (Nivel %d - Niv %d)
MOONLIGHT_EVENT	Cufere Clar de Lunã
TOURNAMENT_EVENT	Turneu PvP(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Roata Norocului
HALLOWEEN_EVENT	Eveniment de Halloween
EVENT_MANAGER_WINDOW_TITLE	Calendarul evenimentelor: %s - %d
EVENT_MONTH_1	Ianuari
EVENT_MONTH_2	Februarie
EVENT_MONTH_3	Martie
EVENT_MONTH_4	Aprilie
EVENT_MONTH_5	Mai
EVENT_MONTH_6	Iunie
EVENT_MONTH_7	Iulie
EVENT_MONTH_8	August
EVENT_MONTH_9	Septembrie
EVENT_MONTH_10	Octombrie
EVENT_MONTH_11	Noiembrie
EVENT_MONTH_12	Decembrie
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
METIN_TEST	TEST
MAP_NONE	Sconosciuta
MAP_A1	Þinutul Yongan
MAP_A2	Valea Seungryong
MAP_A2_1	
MAP_A3	Þinutul Yayang
MAP_AG	Jungrang	
MAP_B1	Þinutul Joan
MAP_B2	Valea Imji
MAP_B3	Þinutul Bokjung
MAP_BATTLE_FIELD	Zonã de Rãzboi
MAP_BATTLE_ROYALE	Battle Royale
MAP_BAY	Trecatoarea Nephrite
MAP_BAYBLACKSAND	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	RX: Pãdurea Fermecatã
MAP_BOSS_AWAKEN_FLAME	RX: Fortãreaþa Dragonului Roºu
MAP_BOSS_AWAKEN_SKIPIA	RX: Grota Exilului
MAP_BOSS_AWAKEN_SNOW	RX: Turnul lui Nemere
MAP_BOSS_CRACK_DAWNMIST	TR: Pãdurea Fermecatã
MAP_BOSS_CRACK_FLAME	TR: Fortãreaþa Dragonului Roºu
MAP_BOSS_CRACK_SKIPIA	TR: Grota Exilului
MAP_BOSS_CRACK_SNOW	TR: Turnul lui Nemere
MAP_BOSS_LABYRINTH	Platoul Iluziilor
MAP_LOBBY	Camera temniþe
MAP_PLEC_DESERT	Deºertul Arid
MAP_C1	Þinutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Þinutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CAPEDRAGONHEAD	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_CZ_DUNGEON	Templul Zodiac
MAP_DAWN	Stancile Gautama
MAP_DAWNMISTWOOD	Stancile Gautama
MAP_DEFENSE_WAVE	Apãrare Navã
MAP_DEFENSE_WAVE_PORT	Port
MAP_DESERT	Deºertul Yongbi
MAP_DEVILCATACOMB	Catacomba Diavolului
MAP_DEVILTOWER1	Turnul Demonilor
MAP_DUEL	Arena Antrenament de Lupta
MAP_E	Colonie
MAP_EASTPLAIN_01	Aria Dong Gwang
MAP_EASTPLAIN_02	Pustietatea Seo Gwang
MAP_EASTPLAIN_03	Prãpastia Nam Gwang
MAP_ELEMENTAL_DUNGEON	Tãrâmul Elementelor
MAP_EMPIRECASTLE	Fortãreaþa Abandonatã
MAP_EMPIREWAR01	Batalie Castel
MAP_EMPIREWAR02	Batalie Castel
MAP_EMPIREWAR03	Batalie Castel
MAP_FARMING_DUNGEON	Temniþa misterioasã
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palatul Regelui Dragon
MAP_HOLYPLACE_DESERT	Desert Batalia Regatului
MAP_HOLYPLACE_FLAME	Tara de Foc Batalia Regatului
MAP_HOLYPLACE_ICE	Þara Îngheþatã Bãtãlia Regatelor
MAP_MAZE_DUNGEON_01	Peºtera Gnoll Nivel 1
MAP_MAZE_DUNGEON_02	Peºtera Gnoll Nivel 2
MAP_MAZE_DUNGEON_03	Peºtera Gnoll Nivel 3
MAP_MILGYO	Templul Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Temniþa Albastrã - Nivel 40-80
MAP_GOLD	Camera Comorilor
MAP_MINIBOSS_02	Temniþa Roºie - Nivel 81+
MAP_MISTS_OF_ISLAND	Insula de Ceaþã
